token,name,title,xpos,ypos,continue,modal,exitscript,script,text

****Deployment Screen,,,,,,,,,
#,CHOOSEBATTLE,选择战役,32,32,1,1,,,"这里你可以选择所要进行的战役。每个关卡的舰队预算和可用的飞行员数量上限都不同。还可能在不同大小的战场中，对抗不同的敌人。有些任务还可能遇到特殊的环境因素。"
#,CHANGEDEPLOYMENT1,改变部署,-1,32,1,1,LaunchTutorial(DESIGNPICKER);,,"此视图允许你编辑当前舰队的部署情况，重新调配你的飞船，编辑它们的命令，或者读取早先的部署。你在这里作出的决定将成为在战斗中获胜的关键。"
#,DESIGNPICKER,飞船设计,-1,32,1,1,CancelHighlight();LaunchTutorial(DRAGICONS);,Highlight(DESIGN_PICKER);,这枚圆柱形图标代表‘设计选择器’这里有用于战斗的各种不同的飞船设计。你可以用上方的按钮来创建新的设计。你当前舰队的每个飞船设计都可以拥有不止一个实例。
#,DRAGICONS,调配飞船,-1,32,,,,Highlight(shipicon_tutorial cruiser);BlockButtons();AllowButton(shipicon_tutorial cruiser);WaitFor(DRAGSHIP);,"将此图标拖进地图左侧高亮的长方框里，这样会在你当前的舰队部署中添加一艘此类型的飞船"
#,ADDED_NEW_SHIP,新飞船！,-1,32,,,,Highlight(shipicon_tutorial fighter);Highlight(shipicon_tutorial frigate);AllowButton(shipicon_tutorial fighter);AllowButton(shipicon_tutorial frigate);WaitFor(HITBUDGET);,你刚刚向自己的舰队中添加了一艘新飞船！你可以不断向地图的阵地上拖进新的飞船，直到你达到本次战斗的最高预算为止。马上试试吧。
#,BUDGET_REACHED,执行所有预算,-1,64,1,,LaunchTutorial(SELECTASHIP);,CancelHighlight();AllowButton(deploymenticon);AllowButton(tutorialbutton);,"你已经达到了本次任务的飞行员或者金钱的上限。你或许希望在你的部署区重新调配你的飞船。点击并将飞船拖到适当的位置，然后点继续"
#,SELECTASHIP,选择一艘飞船,-1,32,, ,,AllowButtons();AllowButton(deploymenticon);WaitFor(SELECTSHIP);,你可以在已部署的飞船上左击来选中它。这样你就可以看到该飞船的更多信息。马上试试吧。
#,SHIPDETAILS,飞船细节,-1,32,1,1,LaunchTutorial(MODULEDETAILS);,Highlight(DEPLOYMENT_DETAILS),"此窗口显示了已部署飞船的信息，其当前设置的指令，还有该飞船设计的详细分类，以及装备的武器和其他构成。"
#,MODULEDETAILS,飞船模块,-1,300,,,,AllowButtons();AllowButton(deploymentmoduleicon);CancelHighlight();Highlight(deploymentmoduleicon);WaitFor(MODULEPOPUP),这些图标表示被选飞船上搭载的模块。点击其中一个以查看细节。
#,MODULEPOPUP,飞船模块细节,-1,32,,,LaunchTutorial(SAVEDEPLOYMENT);,WaitFor(CLOSEMODULEPOPUP);CancelHighlight(),此窗口显示了该飞船模块的性能信息。这些信息在你设计自己的飞船时也会用到。现在关闭此窗口。
#,SHIPORDERS,飞船指令,-1,32,,,,AllowButtons();AllowButton(BEHAVIOR_STRIP);CancelHighlight();Highlight(BEHAVIOR_STRIP);WaitFor(ORDERDETAILS);,这些按钮表示当前选定的飞船设置指令。现在点击其中的一个。
#,ORDERDETAILS,指令细节,5,5,,,,AllowButtons();CancelHighlight();WaitFor(CLOSEORDERDETAILS);,这里显示了该特定指令的细节信息。你可以靠调整滑块改变指令的运行方式。点击其中一件武器可以将最大射程设置为该武器的射程。点OK按钮。
#,ADDORDER,新指令,-1,32,,,,AllowButtons();AllowButton(BEHAVIOR_NEW);Highlight(BEHAVIOR_NEW);WaitFor(CLOSEBEHAVIORPICKER);,"飞船是可以添加新指令的，添加到单体或者若干飞船都可以，点击添加新指令按钮。"
#,BEHAVIOR_PICKER,选择指令,5,5,,,,AllowButtons();CancelHighlight();WaitFor(CLOSEBEHAVIORPICKER);,"这是当前未分配到特定飞船上的指令列表。你可以随意为每艘船分配很多或者很少的指令，不过有些指令之间是冲突的无法同时选用。目前来说，我们只要保持默认指令就好了，所以关闭指令窗口吧。"
#,SAVEDEPLOYMENT,保存部署方案,-1,32,,,,AllowButton(savedeployment);Highlight(savedeployment);WaitFor(FIGHTBATTLE);,"你可能需要在战斗开始前保存本次的舰队部署方案，保存以免再用时重新部署（？）。点击保存部署按钮并为方案命名"
