token,name,title,xpos,ypos,continue,modal,exitscript,script,text

****Deployment Screen,,,,,,,,,
#,CHOOSEBATTLE,Choose Battle,32,32,1,1,,,"This is where you pick which battle to fight. Each scenario has a different limit on the budget for your fleet and the number of pilots available. It also may be fought over a different size area, and against different opponents. Some missions also have environmental factors."
#,CHANGEDEPLOYMENT1,Change Deployment,-1,32,1,1,LaunchTutorial(DESIGNPICKER);,,"This screen lets you edit the current fleet deployment, reposition your ships and edit their orders, or load in previous deployments. The decisions you make here are crucial to your success in battle."
#,DESIGNPICKER,Ship Designs,-1,32,1,1,CancelHighlight();LaunchTutorial(DRAGICONS);,Highlight(DESIGN_PICKER);,This column of icons is the 'design picker'. These are the different ship designs available for you to fight this battle. You can create new designs using the top icon. You can have more than one example of each ship design in your current fleet.
#,DRAGICONS,Deploying Ships,-1,32,,,,Highlight(shipicon_tutorial cruiser);BlockButtons();AllowButton(shipicon_tutorial cruiser);WaitFor(DRAGSHIP);,"Drag this icon onto the highlighted rectangle on the left of the map, this will add a new ship of this type to your currently deployed fleet"
#,ADDED_NEW_SHIP,New Ship!,-1,32,,,,Highlight(shipicon_tutorial fighter);Highlight(shipicon_tutorial frigate);AllowButton(shipicon_tutorial fighter);AllowButton(shipicon_tutorial frigate);WaitFor(HITBUDGET);,You just added a new ship to your fleet! You can keep dragging new ships into position on the map until you reach the maximum budget for this battle. Try this now.
#,BUDGET_REACHED,Budget Reached,-1,64,1,,LaunchTutorial(SELECTASHIP);,CancelHighlight();AllowButton(deploymenticon);AllowButton(tutorialbutton);,"You have reached the limit in either pilots or cash for this mission. You may want to reposition your ships within the deployment zone. Click and drag the ships into position, then click continue"
#,SELECTASHIP,Selecting A Ship,-1,32,, ,,AllowButtons();AllowButton(deploymenticon);WaitFor(SELECTSHIP);,You can select one of the ships you have deployed by left clicking on it. This will show you more information about that ship. Try it now.
#,SHIPDETAILS,Ship Details,-1,32,1,1,LaunchTutorial(MODULEDETAILS);,Highlight(DEPLOYMENT_DETAILS),"This window shows you information about the deployed ship, it's current orders, and the breakdown of the ship's design, showing its weapons and other components."
#,MODULEDETAILS,Ship Modules,-1,300,,,,AllowButtons();AllowButton(deploymentmoduleicon);CancelHighlight();Highlight(deploymentmoduleicon);WaitFor(MODULEPOPUP),These icons represent the modules on the selected ship. Click on one of them to see more details.
#,MODULEPOPUP,Ship Module Details,-1,32,,,LaunchTutorial(SAVEDEPLOYMENT);,WaitFor(CLOSEMODULEPOPUP);CancelHighlight(),This window shows you information on the capabilities of this ship module. This will also be used when you design your own ships. Close this window now.
#,SHIPORDERS,Ship Orders,-1,32,,,,AllowButtons();AllowButton(BEHAVIOR_STRIP);CancelHighlight();Highlight(BEHAVIOR_STRIP);WaitFor(ORDERDETAILS);,These buttons here represent the orders for the currently selected ship. Click one of them now
#,ORDERDETAILS,Order Details,5,5,,,,AllowButtons();CancelHighlight();WaitFor(CLOSEORDERDETAILS);,This shows details on this specific order. You can adjust the sliders to change how this order works. Clicking one of the weapons will set the maximum range to the range of this weapon. Click the OK button.
#,ADDORDER,New Orders,-1,32,,,,AllowButtons();AllowButton(BEHAVIOR_NEW);Highlight(BEHAVIOR_NEW);WaitFor(CLOSEBEHAVIORPICKER);,"There are additional orders that can be given to ships, individually or in groups, click the add new order button."
#,BEHAVIOR_PICKER,Select Orders,5,5,,,,AllowButtons();CancelHighlight();WaitFor(CLOSEBEHAVIORPICKER);,"This is a list of the orders that are not currently assigned to this specific ship. You can add as many or as few orders to each ship as you like, although some of them conflict and cannot be chosen together. For now, lets leave the orders at their defaults, so close the order window."
#,SAVEDEPLOYMENT,Save Deployment,-1,32,,,,AllowButton(savedeployment);Highlight(savedeployment);WaitFor(FIGHTBATTLE);,"You should probably save out this fleet deployment before fighting, to save building it from scratch again. Click the save deployment button and choose a name for it"
#,FIGHTBATTLE,Fight!,-1,-1,,,CancelHighlight();AllowButtons();,AllowButton(fightbattle);CancelHighlight();Highlight(fightbattle);,"It's time to see if your fleet will win this battle, click the fight button to see how it does…"
***Design screen,,,,,,,,,
